orth phon sense pos gender asp dic_name usg etym_lang
дотошный ДОТ'ОШНЫЙ " Свидетельствующий об излишней тщательности, ненужном внимании к мелочам, деталям. " " сущ. " " ж. " None "Толковый словарь Кузнецова" разг. None
доха ДОХ'А " Шуба на меху и с верхом из меха. " " сущ. " " ж. " None "Толковый словарь Кузнецова" разг. None
дохлятина ДОХЛ'ЯТИНА " Мясо, трупы павших животных; падаль. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
доходность ДОХ'ОДНОСТЬ " Рентабельность работы какого-л. предприятия, объединения и т.п. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
доходчивый ДОХ'ОДЧИВЫЙ " Лёгкий для понимания, восприятия; понятный, ясный. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
доцентура ДОЦЕНТ'УРА " Звание, должность доцента. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
доченька Д'ОЧЕНЬКА " Дочь. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дочка Д'ОЧКА " =Дочь. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дочь ДОЧЬ " Шагая, дойти до конца или до какого-л. места, предела. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дощечка ДОЩ'ЕЧКА " к Доск'а. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
доярка ДО'ЯРКА " Работница, которая доит коров и ухаживает за ними. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
драга ДР'АГА " Плавучее сооружение для разработки россыпных месторождений полезных ископаемых " " сущ. " " ж. " None "Толковый словарь Кузнецова" None франц.
драгоценность ДРАГОЦ'ЕННОСТЬ " Дорогое ювелирное изделие. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дразнилка ДРАЗН'ИЛКА " О прозвище, обидном имени кого-л. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
драка ДР'АКА " Ссора, стычка, сопровождаемая взаимными побоями. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
драка ДР'АКА " Сражение, битва, бой. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
драма ДР'АМА " Литературное произведение, написанное в форме диалога и предназначенное для исполнения на сцене; пьеса такого рода, серьёзного, но не героического содержания " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
драматичный ДРАМАТ'ИЧНЫЙ " =Драматический " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
драматургия ДРАМАТУРГ'ИЯ " Искусство построения драматических произведений. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
драматургия ДРАМАТУРГ'ИЯ " Совокупность драматических произведений какого-л. писателя, народа, эпохи. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
дранка ДР'АНКА " Тонкие дощечки для обивки стен и потолков под штукатурку, для покрытия кровли; гонт. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дрань ДР'АНЬ " =Дранка " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
драпировка ДРАПИР'ОВКА " к Драпиров'ать - Драпиров'аться. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
драпировка ДРАПИР'ОВКА " То, во что или чем задрапирован кто-, что-л. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
драпировка ДРАПИР'ОВКА " Занавеска, портьера. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дратва ДР'АТВА " Прочная просмоленная или навощенная нитка для шитья обуви, кожаных изделий. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
драхма ДР'АХМА " Серебряная монета и единица веса в древней Греции. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
драхма ДР'АХМА " Денежная единица в современной Греции. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
драцена ДРАЦ'ЕНА " Вечнозелёное древовидное или кустарниковое южное растение сем. агавовых отдельные виды которого культивируются как комнатные и декоративные. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
драчливый ДРАЧЛ'ИВЫЙ " Свойственный драчуну; задиристый. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дребедень ДРЕБЕД'ЕНЬ " Вздор, чепуха. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
древесина ДРЕВЕС'ИНА " Плотная ткань древесных растений между корой и сердцевиной. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
древесница ДРЕВ'ЕСНИЦА " Лягушка сем. квакш, живущая на деревьях и кустарниках. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
древность ДР'ЕВНОСТЬ " к Древний. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
древность ДР'ЕВНОСТЬ " Очень отдалённые времена, далёкое прошлое. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дрезина ДРЕЗ'ИНА " Механическая железнодорожная тележка для перевозки людей и грузов на небольшие расстояния, передвигаемая по рельсам вручную или с помощью двигателя. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None нем.
дрель ДРЕЛЬ " Ручной инструмент для сверления отверстий. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None голл.
дрёма ДРёМА " =Дремота. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дрёма ДРёМА " Название ряда растений сем. гвоздичных, с поникшими (как бы дремлющими) цветками. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дремливый ДРЕМЛ'ИВЫЙ " (тусклый, сонный). " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дремота ДРЕМ'ОТА " Состояние, когда клонит ко сну; полусон. " " сущ. " " ж. " None "Толковый словарь Кузнецова" трад.-поэт. None
дремотный ДРЕМ'ОТНЫЙ " Вызванный, навеянный дремотой; вызывающий, навевающий дремоту. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дремучий ДРЕМ'УЧИЙ " Густой, труднопроходимый, старый " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дремучий ДРЕМ'УЧИЙ " Глухой, дикий. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дрена ДР'ЕНА " Подземный водосток, труба для сбора и отвода почвенно-грунтовых вод и осушения почвы. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None англ.
дресва ДРЕСВ'А " Легко распадающийся, рассыпающийся в дресву. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дриада ДРИ'АДА " нимфа дерева, лесная нимфа. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
дрисня ДРИСН'Я " Экскременты " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дробилка ДРОБ'ИЛКА " Машина для дробления твёрдых материалов. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дробина ДРОБ'ИНА " Слишком мало, совершенно недостаточно. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дробница ДРОБН'ИЦА " Мешочек или коробка для ружейной дроби. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дробный ДР'ОБНЫЙ " Содержащий множество делений, деталей и т.п.; подробный. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дробный ДР'ОБНЫЙ " Состоящий из ряда отдельных, быстро следующих друг за другом моментов?; частый " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дробный ДР'ОБНЫЙ " Представляющий собой мельчайшую единицу в членении, классификации чего-л.; простой, мелкий. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дробь ДРОБЬ " Мелкие свинцовые шарики для стрельбы из охотничьего ружья. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дробь ДРОБЬ " Частые, ритмически повторяющиеся звуки от ударов по чему-л. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дровосека ДРОВОС'ЕКА " =Лесос'ека. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дрога ДР'ОГА " Продольный брус в повозках, соединяющий переднюю ось с задней. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дрожь ДРОЖЬ " Частое судорожное сокращение мышц " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дрожь ДРОЖЬ " Колебание, сотрясение. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дрожь ДРОЖЬ " Прерывистость, неровность звучания. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дрозофила ДРОЗОФ'ИЛА " Мелкое двукрылое насекомое сем. плодовых мушек. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
дрофа ДРОФ'А " Крупная птица сем. журавлиных с длинной шеей и сильными ногами; обитательница степей. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дрочёна ДРОЧёНА " Национальное русское блюдо, род запеканки из смеси яиц, молока и муки или тёртого картофеля. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дружба ДР'УЖБА " Отношения, основанные на взаимной привязанности, доверии, духовной близости, общности интересов и т.п. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дружелюбный ДРУЖЕЛ'ЮБНЫЙ " Проникнутый дружелюбием; выражающий дружелюбие; доброжелательный. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дружественный ДР'УЖЕСТВЕННЫЙ " Основанный на дружбе " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дружина ДРУЖ'ИНА " приближённые князя, составлявшие ядро его войска и участвовавшие в управлении государством - княжеством и феодальным владением князя. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дружина ДРУЖ'ИНА " Войско, рать. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дружина ДРУЖ'ИНА " войсковое подразделение, войсковая часть " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дружный ДР'УЖНЫЙ " Связанный дружбой, взаимным согласием. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дружный ДР'УЖНЫЙ " Питающий к чему-л. склонность, пристрастие. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дружный ДР'УЖНЫЙ " Происходящий одновременно, согласованно; слаженный. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дрызготня ДРЫЗГОТН'Я " к Дрызгать и Дрызгаться. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дряблый ДР'ЯБЛЫЙ " Лишённый свежести, упругости.  " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дряблый ДР'ЯБЛЫЙ " Чересчур мягкий, легко распадающийся на отдельные части, волокна " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дрянь ДРЯНЬ " То, что негодно, ненужно; мусор, хлам или пустяки, мелочи. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дряхлый ДР'ЯХЛЫЙ " Слабый, немощный от старости. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дубильня ДУБ'ИЛЬНЯ " Помещение, где производится дубление. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
дубина ДУБ'ИНА " Толстая тяжёлая палка, используемая обычно как простейшее оружие. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
занавеска ЗАНАВ'ЕСКА " Подвижная часть мягкого нёба. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
занавесь З'АНАВЕСЬ " =Занавеска. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
заначить ЗАН'АЧИТЬ " Спрятать, приберечь. " " сущ. " " ж. " " нсв. " "Толковый словарь Кузнецова" None None
занимательный ЗАНИМ'АТЕЛЬНЫЙ " Возбуждающий, вызывающий интерес, внимание; увлекательный. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
заносчивый ЗАН'ОСЧИВЫЙ " Высокомерный, самоуверенный. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
заношенный ЗАН'ОШЕННЫЙ " Избитый, опошленный частым употреблением. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
занятный ЗАН'ЯТНЫЙ " Занимательный, интересный; забавный. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
занятость З'АНЯТОСТЬ " к Занят'ой и З'анятый. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
заострённый ЗАОСТРёННЫЙ " Резко выраженный; подчёркнутый. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
западня ЗАПАДН'Я " Искусный, ловкий манёвр, приём для завлечения противника в невыгодное, опасное положение. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
запальчивый ЗАП'АЛЬЧИВЫЙ " Свидетельствующий об излишней горячности. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
запань; З'АПАНЬ; " Заграждение на реке для собирания сплавляемого леса, а также для хранения и сортировки его. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
запарка ЗАП'АРКА " к Зап'арить - зап'аривать " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
запарка ЗАП'АРКА " То, что приготовляется запариванием. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
запасливый ЗАП'АСЛИВЫЙ " Предусмотрительно заготовляющий что-л.; любящий делать запасы. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
запашка ЗАП'АШКА " к Запах'ать - зап'ахивать " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
запевка ЗАП'ЕВКА " =Зап'ев " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
запеканка ЗАПЕК'АНКА " Кушанье, приготовленное запеканием. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
запинка ЗАП'ИНКА " (гладко, бойко). " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
записка ЗАП'ИСКА " Листок бумаги, содержащий короткое письмо, вопрос, сообщение и т.п. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
записка ЗАП'ИСКА " Краткое изложение какого-л. дела, сообщение о чём-л. в официальной форме. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
записка ЗАП'ИСКА " Чьи-л. наблюдения, замечания, воспоминания и т.п. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
запись З'АПИСЬ " к Запис'ать - зап'исывать " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
запись З'АПИСЬ " То, что записано, занесено на бумагу, плёнку и т.п. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
запись З'АПИСЬ " Изображение, нанесённое на живопись. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
заплата ЗАПЛ'АТА " Кусок металла, дерева и т.п., употребляемый для починки. " " сущ. " " ж. " None "Толковый словарь Кузнецова" уменьш. None
заплесневелый ЗАПЛ'ЕСНЕВЕЛЫЙ " Покрытый плесенью. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
заповедь З'АПОВЕДЬ " Религиозно-нравственное предписание. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
запоминаемость ЗАПОМИН'АЕМОСТЬ " Свойство и способность запоминаться. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
запонка З'АПОНКА " Застёжка, вдеваемая в петли манжет. " " сущ. " " ж. " None "Толковый словарь Кузнецова" уменьш.-ласк. None
заправка ЗАПР'АВКА " к Запр'авить и Запр'авиться. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
заправка ЗАПР'АВКА " Требуемый уставом внешний вид военнослужащего. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
заправочный ЗАПР'АВОЧНЫЙ " Специально оборудованное место, где производится заправка машин горючим. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
запрессовка ЗАПРЕСС'ОВКА " к Запрессовать и Запрессоваться. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
запруда ЗАПР'УДА " к Запруд'ить - запруж'ать - запр'уживать " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
запруда ЗАПР'УДА " Сооружение, которым преграждают течение, движение воды; плотина. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
запряжка ЗАПР'ЯЖКА " к Запр'ячь - запряг'ать. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
запряжка ЗАПР'ЯЖКА " Повозка, экипаж и т.п. с запряжёнными (запрягаемыми) в них животными и упряжью; упряжка. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
запряжка ЗАПР'ЯЖКА " Сбруя, упряжь. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
запуганный ЗАП'УГАННЫЙ " Пугливый и робкий от постоянных угроз, запугиваний. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
запутанный ЗАП'УТАННЫЙ " Беспорядочно перевитый, переплетённый; спутанный. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
запущенный ЗАП'УЩЕННЫЙ " Неухоженный, заброшенный; оставленный без присмотра. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
запылённый ЗАПЫЛёННЫЙ " Насыщенный или покрытый пылью. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
запятая ЗАПЯТ'АЯ " Знак препинания (,), разделяющий слова, группы слов или предложения. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
заражаемость ЗАРАЖ'АЕМОСТЬ " Подверженность заражению; сравнительное количество случаев заражения. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
заражённый ЗАРАЖёННЫЙ " Насыщенный болезнетворными микробами или вредными веществами. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
зараза ЗАР'АЗА " Болезнетворное начало, распространяемое микроорганизмами. " " сущ. " " ж. " None "Толковый словарь Кузнецова" разг. None
заразительный ЗАРАЗ'ИТЕЛЬНЫЙ " Легко передающийся другим; влияющий, воздействующий на других. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
заразиха ЗАРАЗ'ИХА " Растение, лишённое зелёной окраски, паразитирующее на корнях дикорастущих и культурных растений " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
зарегламентированный ЗАРЕГЛАМЕНТ'ИРОВАННЫЙ " Подчинённый жесткому регламенту. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
зарисовка ЗАРИС'ОВКА " к Зарисов'ать - зарис'овывать. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
зарница ЗАРН'ИЦА " Мгновенная световая вспышка без грома на небосклоне ночью или вечером - отблеск далёкой грозы. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
заросль З'АРОСЛЬ " Густо разросшийся кустарник, массив трав, деревьев и т.п. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
зарплата ЗАРПЛ'АТА " (в день получения такой платы). " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
зарубежка ЗАРУБ'ЕЖКА " Курс по истории зарубежной литературы. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
зарубина ЗАР'УБИНА " =Зарубка " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
зарубка ЗАР'УБКА " к Заруб'ить - заруб'ать " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
заря ЗАР'Я " Яркое освещение горизонта перед восходом и после захода солнца. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
заря ЗАР'Я " Начало, зарождение, ранняя пора чего-л. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
зарядка ЗАР'ЯДКА " к Заряд'ить - заряж'ать " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
зарянка ЗАР'ЯНКА " =Малиновка. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
засада ЗАС'АДА " к Зас'есть " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
засада ЗАС'АДА " Скрытое место, используемое для неожиданного появления, нападения. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
засада ЗАС'АДА " Способ нападения неожиданно, врасплох. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
засека; З'АСЕКА; " Преграда из срубленных и наваленных деревьев. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
заселённый ЗАСЕЛёННЫЙ " Имеющий большое население, много жителей; населённый. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
заскорузлый ЗАСКОР'УЗЛЫЙ " Затвердевший; загрубелый. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
заскорузлый ЗАСКОР'УЗЛЫЙ " Чёрствый, грубый. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
заслонка ЗАСЛ'ОНКА " Приспособление " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
заслуга ЗАСЛ'УГА " (в соответствии с тем, что заслужил, чего достоин). " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
засолённый ЗАСОЛёННЫЙ " Отличающийся повышенным содержанием минеральных солей " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
засолка ЗАС'ОЛКА " =Засол " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
засорённый ЗАСОРёННЫЙ " Содержащий много сора, загрязнённый. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
застава ЗАСТ'АВА " Заграждение и сторожевой пост при въезде в город, созданные для взыскания подорожных и других налогов, для наблюдения за проезжающими и т.п., а также место въезда в город. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
застава ЗАСТ'АВА " Воинский сторожевой отряд, сторожевое охранение. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
заставка ЗАСТ'АВКА " Орнамент или рисунок, обычно в ширину страницы, перед началом текста главы, раздела, книги и т.п. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
заставка ЗАСТ'АВКА " Переносная загородка; щиток, ширма. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
застарелый ЗАСТАР'ЕЛЫЙ " Давно ставший старым для какого-л. состояния. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
застёжка ЗАСТёЖКА " Покрывшись прозрачной коркой льда; стать неподвижным, блестящим и т.п., внешне похожим на стекло. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
застенчивый ЗАСТ'ЕНЧИВЫЙ " Выражающий робость, стыдливость; исполненный таких чувств. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
застойный ЗАСТ'ОЙНЫЙ " к Заст'ой. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
застолица ЗАСТ'ОЛИЦА " =Застолье. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
застольный ЗАСТ'ОЛЬНЫЙ " Песня, которую поют во время пиршества, застолья. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
застреха ЗАСТР'ЕХА " В крестьянских постройках: нижний, свисающий край крыши; брус, поддерживающий нижний край крыши. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
застройка ЗАСТР'ОЙКА " к Застр'оить - застр'аивать. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
застылый ЗАСТ'ЫЛЫЙ " =Застывший " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
засуха З'АСУХА " Продолжительное отсутствие дождей летом, приводящие к высыханию почвы и гибели растительности. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
засухоустойчивый ЗАСУХОУСТО'ЙЧИВЫЙ " Способный переносить засуху. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
засушливый ЗАС'УШЛИВЫЙ " Сопровождающийся засухой. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
засыпка ЗАС'ЫПКА " к Зас'ыпать - засып'ать " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
затаённый ЗАТАёННЫЙ " Скрываемый от других; скрытый, тайный. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
затасканный ЗАТ'АСКАННЫЙ " Истрёпанный, изношенный от длительного употребления. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
затверделость ЗАТВЕРД'ЕЛОСТЬ " к Затверд'елый. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
затейливый ЗАТ'ЕЙЛИВЫЙ " Причудливый, замысловатый; мудрёный, лишённый простоты. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
затемнённый ЗАТЕМНёННЫЙ " Такой, который затемнён, подвержен затемнению. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
затенённый ЗАТЕНёННЫЙ " Такой, который затенён, находится в тени. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
затерянный ЗАТ'ЕРЯННЫЙ " Забытый всеми, заброшенный, покинутый. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
затея ЗАТ'ЕЯ " Замысел, намерение. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
затоваренность ЗАТОВ'АРЕННОСТЬ " Скопление товара где-л. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
заторможенный ЗАТОРМ'ОЖЕННЫЙ " Лишённый живости, безучастный. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
заточка ЗАТ'ОЧКА " к Заточ'ить " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
затравка ЗАТР'АВКА " Легковоспламеняющееся вещество (обычно порох), которое при возгорании воспламеняет основной пороховой заряд. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
затравка ЗАТР'АВКА " То, чем можно вызвать интерес к чему-л., положить начало чему-л. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
затрата ЗАТР'АТА " к Затр'атить. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
затратный ЗАТР'АТНЫЙ " Исходящий из обязательных производственных затрат. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
затрещина ЗАТР'ЕЩИНА " Сильный удар рукой по щеке, по голове. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
затруднённый ЗАТРУДНёННЫЙ " Производимый, осуществляемый с трудом, с усилиями; содержащий затруднения, трудности. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
затруднительный ЗАТРУДН'ИТЕЛЬНЫЙ " (вызванное замешательством, неловкостью). " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
затушёвка ЗАТУШёВКА " к Затушевать - затушёвывать и Затушеваться - затушёвываться. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
затхлость З'АТХЛОСТЬ " к З'атхлый. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
затычка ЗАТ'ЫЧКА " о человеке, которого постоянно используют для замены кого-л., выполнения различных поручений). " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
затяжка ЗАТ'ЯЖКА " к Затян'уть - зат'ягивать и Затян'уться - зат'ягиваться. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
затяжка ЗАТ'ЯЖКА " Вдох табачного дыма при курении. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
затяжка ЗАТ'ЯЖКА " Падение парашютиста до раскрытия парашюта при затяжном прыжке. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
затяжной ЗАТЯЖН'ОЙ " Продолжительный, длительный. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
заумь З'АУМЬ " Излишнее, ненужное мудрствование; бессмыслица, нелепость. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
заунывный ЗАУН'ЫВНЫЙ " Наводящий уныние; грустный, тоскливый. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
заурядный ЗАУР'ЯДНЫЙ " Ничем не выделяющийся; обыкновенный, посредственный. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
заусеница ЗАУС'ЕНИЦА " Задравшаяся кожица у основания ногтя. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
заутреня ЗА'УТРЕНЯ " Церковная служба христиан, совершаемая рано утром, до обедни. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
